Sample	Gender	Pop
HG01512	male	EUR
HG01811	male	EAS
HG02040	male	EAS
HG01517	female	EUR
HG01683	male	EUR
HG02052	female	AFR
HG01524	male	EUR
HG01695	female	EUR
HG02057	female	EAS
HG01396	female	AMR
HG01703	male	EUR
HG02019	female	EAS
HG01404	female	AMR
HG01708	male	EUR
HG02021	male	EAS
HG01411	male	AMR
HG02004	female	AMR
HG02026	male	EAS
HG01473	male	AMR
HG02009	male	AFR
HG02127	female	EAS
HG01480	female	AMR
HG02011	male	AFR
HG02134	male	EAS
HG01485	male	AMR
HG02016	female	EAS
HG02139	female	EAS
HG01435	female	AMR
HG01885	male	AFR
HG02184	female	EAS
HG01442	male	AMR
HG01892	male	AMR
HG02189	female	EAS
HG01567	female	AMR
HG01897	male	AFR
HG02165	female	EAS
HG01579	male	AMR
HG01912	male	AFR
HG02266	female	AMR
HG01586	male	SAS
HG01917	male	AMR
HG02273	female	AMR
HG01593	female	SAS
HG01924	female	AMR
HG02278	female	AMR
HG01529	male	EUR
HG01986	male	AFR
HG02280	female	AFR
HG01531	female	EUR
HG01993	female	AMR
HG02398	male	EAS
HG01536	male	EUR
HG01998	male	AMR
HG02401	male	EAS
HG01550	male	AMR
HG01873	male	EAS
HG02406	male	EAS
HG01613	female	EUR
HG01878	female	EAS
HG02420	male	AFR
HG01618	female	EUR
HG01880	female	AFR
HG02367	male	EAS
HG01620	female	EUR
HG01943	male	AMR
HG02374	male	EAS
HG01625	male	EUR
HG01948	female	AMR
HG02379	male	EAS
HG01598	female	EAS
HG01950	male	AMR
HG02381	male	EAS
HG01601	male	EUR
HG01974	male	AMR
HG02285	male	AMR
HG01606	male	EUR
HG01979	male	AMR
HG02292	female	AMR
HG01632	female	EUR
HG01981	female	AMR
HG02300	male	AMR
HG01668	female	EUR
HG01955	female	AMR
HG02343	male	AFR
HG01670	female	EUR
HG01967	male	AMR
HG02348	female	AMR
HG01675	male	EUR
HG01936	female	AMR
HG02355	male	EAS
HG01682	male	EUR
HG02143	male	AFR
HG02254	female	AMR
HG01687	female	EUR
HG02148	female	AMR
HG02259	male	AMR
HG01694	male	EUR
HG02150	male	AMR
HG02261	male	AMR
HG01699	male	EUR
HG02155	female	EAS
HG02223	female	EUR
HG01702	female	EUR
HG02047	male	EAS
HG02230	female	EUR
HG01707	female	EUR
HG02054	female	AFR
HG02235	female	EUR
HG01769	female	EUR
HG02059	female	EAS
HG02312	female	AMR
HG01771	male	EUR
HG02023	male	EAS
HG02317	male	AFR
HG01776	female	EUR
HG02028	female	EAS
HG02386	male	EAS
HG01757	female	EUR
HG02030	male	EAS
HG02588	male	AFR
HG01764	female	EUR
HG02035	male	EAS
HG02590	male	AFR
HG01815	female	EAS
HG02186	female	EAS
HG02595	female	AFR
HG01841	female	EAS
HG02218	female	EUR
HG02603	male	SAS
HG01846	male	EAS
HG02220	female	EUR
HG02494	female	SAS
HG01783	male	EUR
HG02078	female	EAS
HG02502	female	AFR
HG01790	female	EUR
HG02080	female	EAS
HG02425	female	AMR
